country,n,mean_govPos,mean_coalTension,mean_natTension,pct_for,pct_abst,pct_against,pct_undet
AT,5037,-11.0,23.7,-15.1,34.9,20.1,45.0,0.0
BE,5037,-6.2,47.5,-10.2,35.2,17.3,47.5,0.0
BG,5037,-8.7,56.3,-3.1,39.8,5.8,54.3,0.0
HR,5037,-12.3,0.1,-16.1,40.8,3.2,56.0,0.0
CY,5037,0.7,0,3.2,33.6,33.7,32.7,0.0
CZ,5037,16.4,32.7,19.2,50.7,16.3,33.0,0.0
DK,5037,-8.8,26.3,-8.9,42.7,6.3,51.0,0.0
EE,5037,-14.8,0,-8.7,40.2,4.8,55.0,0.0
FI,5037,-6.0,54.5,-3.0,26.2,42.0,31.8,0.0
FR,5037,-10.6,1.9,-20.4,43.4,2.6,54.0,0.0
DE,5037,-12.9,19.6,-12.7,35.0,18.2,46.8,0.0
GR,5037,-12.9,0,-8.2,42.0,3.0,55.0,0.0
HU,5037,4.8,0,3.1,40.7,23.3,36.0,0.0
IE,5037,-6.2,14.1,-12.8,40.5,12.6,46.9,0.0
IT,5037,5.1,54.9,0.8,49.1,12.9,38.1,0.0
LV,5037,2.7,48.2,-0.7,18.7,64.9,16.4,0.0
LT,5037,-2.0,73.3,5.6,30.3,41.4,28.4,0.0
LU,5037,-12.8,14.1,-15.7,39.0,8.7,52.3,0.0
MT,5037,-1.8,0,15.6,41.3,15.4,43.3,0.0
NL,5037,-16.1,15.5,-14.0,39.6,4.6,55.8,0.0
PL,5037,-8.2,26.4,-19.1,44.4,3.0,52.7,0.0
PT,5037,-16.3,11.1,-18.5,39.8,4.1,56.1,0.0
RO,5037,-9.4,25.3,-20.8,37.9,14.3,47.8,0.0
SK,5037,25.3,27.0,32.1,55.9,17.1,27.0,0.0
SI,5037,-4.6,33.4,0.3,42.8,7.7,49.6,0.0
ES,5037,-1.1,23.3,10.0,47.4,2.2,50.4,0.0
SE,5037,-12.6,27.3,-10.7,41.7,2.1,56.2,0.0
