#,name,voteType,id,code,url
1,"""Buy European"" provisions",plenary,206,c8542733-dadb-413c-94af-7add93bddf38,https://eumatrix.eu/en/quizzes/statistics/c8542733-dadb-413c-94af-7add93bddf38
2,"""Buy European"" provisions (balanced sample)",plenary,538,9db97b9f-834a-41f0-9304-bf8a91f0cb78,https://eumatrix.eu/en/quizzes/statistics/9db97b9f-834a-41f0-9304-bf8a91f0cb78
3,1 - EU political integration (free access),plenary,164,af357f4c-c9c5-42f4-a6c7-85ce71d52b30,https://eumatrix.eu/en/quizzes/statistics/af357f4c-c9c5-42f4-a6c7-85ce71d52b30
4,2 - Overall simplification of regulation in the EU (free access),plenary,174,7fb8e168-6f95-40c7-a9ea-0ecbcdcf1425,https://eumatrix.eu/en/quizzes/statistics/7fb8e168-6f95-40c7-a9ea-0ecbcdcf1425
5,2035 CO2 Emission Target for Cars,plenary,534,1a6f12ca-6a2c-4012-b612-307fe73afd6d,https://eumatrix.eu/en/quizzes/statistics/1a6f12ca-6a2c-4012-b612-307fe73afd6d
6,5G,plenary,217,0a823ad3-0bb5-419d-95a8-9912cd88be62,https://eumatrix.eu/en/quizzes/statistics/0a823ad3-0bb5-419d-95a8-9912cd88be62
7,Abortion policy,plenary,17,d19c10ba-def8-4d2d-8953-0480968659ce,https://eumatrix.eu/en/quizzes/statistics/d19c10ba-def8-4d2d-8953-0480968659ce
8,Accounting and auditing of EU budget,plenary,426,4114a3ea-8b3d-4299-ae00-bcb563aac059,https://eumatrix.eu/en/quizzes/statistics/4114a3ea-8b3d-4299-ae00-bcb563aac059
9,Agricultural funding,plenary,358,df933591-7076-4187-bec7-87f1c1b07045,https://eumatrix.eu/en/quizzes/statistics/df933591-7076-4187-bec7-87f1c1b07045
10,Air quality policy,plenary,82,ba274c1a-df7d-4eb9-bd88-65dc1928698a,https://eumatrix.eu/en/quizzes/statistics/ba274c1a-df7d-4eb9-bd88-65dc1928698a
11,Animal diseases and health in the EU,plenary,413,dfd54c7e-c2c4-47ca-8055-33782c30249a,https://eumatrix.eu/en/quizzes/statistics/dfd54c7e-c2c4-47ca-8055-33782c30249a
12,Anti-money laundering regulation,plenary,237,8ad0e2f2-40b8-40db-b579-4ccc49e149a5,https://eumatrix.eu/en/quizzes/statistics/8ad0e2f2-40b8-40db-b579-4ccc49e149a5
13,Antimicrobial resistance,plenary,141,ec7099df-50bf-4014-8aef-b08f904af1af,https://eumatrix.eu/en/quizzes/statistics/ec7099df-50bf-4014-8aef-b08f904af1af
14,Arms export from the EU,plenary,368,257db600-4dec-4a62-ba96-acc6a1570dbb,https://eumatrix.eu/en/quizzes/statistics/257db600-4dec-4a62-ba96-acc6a1570dbb
15,Artificial Intelligence,plenary,47,0b3e27be-4675-4b41-a1b0-d67ce44b55d3,https://eumatrix.eu/en/quizzes/statistics/0b3e27be-4675-4b41-a1b0-d67ce44b55d3
16,Asylum & border control,plenary,163,394a8e8e-4c9a-49f2-b256-41fb05b146dd,https://eumatrix.eu/en/quizzes/statistics/394a8e8e-4c9a-49f2-b256-41fb05b146dd
17,Biofuels (RED II),plenary,56,53928a97-8691-43ab-9f6f-f6f3a7573d86,https://eumatrix.eu/en/quizzes/statistics/53928a97-8691-43ab-9f6f-f6f3a7573d86
18,Broad scope,plenary,366,e8013403-cb8c-4dbd-98af-0788099d0961,https://eumatrix.eu/en/quizzes/statistics/e8013403-cb8c-4dbd-98af-0788099d0961
19,Broadcasting of sports events,plenary,210,20ce4ef8-4a08-4658-8c8d-3cff51495c8f,https://eumatrix.eu/en/quizzes/statistics/20ce4ef8-4a08-4658-8c8d-3cff51495c8f
20,Budget for EU politicians,plenary,350,c887faf7-5179-42a7-9a27-a43fc2efcde6,https://eumatrix.eu/en/quizzes/statistics/c887faf7-5179-42a7-9a27-a43fc2efcde6
21,Cannabis regulation,plenary,374,5dba6d46-dfe1-4494-9f7c-14bfb7c29279,https://eumatrix.eu/en/quizzes/statistics/5dba6d46-dfe1-4494-9f7c-14bfb7c29279
22,Carbon Border Adjustment Mechanism (CBAM),plenary,83,f5ec7049-aed8-4324-8900-a858af92a155,https://eumatrix.eu/en/quizzes/statistics/f5ec7049-aed8-4324-8900-a858af92a155
23,Carbon capture storage and utilisation,plenary,160,f25886ec-13ad-4139-9785-f65dacada408,https://eumatrix.eu/en/quizzes/statistics/f25886ec-13ad-4139-9785-f65dacada408
24,Carbon leakage support,plenary,84,fb8f1749-9abb-4ffa-a100-393a46e2837c,https://eumatrix.eu/en/quizzes/statistics/fb8f1749-9abb-4ffa-a100-393a46e2837c
25,Cash as means of payment,plenary,129,ddd3fb09-f155-4cfe-af1e-3e46c3006e5e,https://eumatrix.eu/en/quizzes/statistics/ddd3fb09-f155-4cfe-af1e-3e46c3006e5e
26,Child poverty policy,plenary,230,d89021e5-f875-4bc1-b2f3-0158cb308201,https://eumatrix.eu/en/quizzes/statistics/d89021e5-f875-4bc1-b2f3-0158cb308201
27,Climate efforts,plenary,97,5bdff131-1685-4c9b-881f-47d8d465721d,https://eumatrix.eu/en/quizzes/statistics/5bdff131-1685-4c9b-881f-47d8d465721d
28,Cohesion and rural funding,plenary,338,eab7d966-1974-4c71-b209-c30612e4adfa,https://eumatrix.eu/en/quizzes/statistics/eab7d966-1974-4c71-b209-c30612e4adfa
29,Commercial whaling,plenary,465,9b5f140a-bd9d-4f35-bd01-86432d9756e9,https://eumatrix.eu/en/quizzes/statistics/9b5f140a-bd9d-4f35-bd01-86432d9756e9
30,Competitiveness matrix,plenary,539,f55b4b11-3a09-42ab-b727-886ff8318f8e,https://eumatrix.eu/en/quizzes/statistics/f55b4b11-3a09-42ab-b727-886ff8318f8e
31,Compostable packaging (voting behaviour),plenary,209,7a6b2f5f-f28c-4453-9ccf-9d4b26198206,https://eumatrix.eu/en/quizzes/statistics/7a6b2f5f-f28c-4453-9ccf-9d4b26198206
32,Conditions to access EU budget,plenary,427,ccd34b3e-2928-4460-85bb-0c9af4b9ee7b,https://eumatrix.eu/en/quizzes/statistics/ccd34b3e-2928-4460-85bb-0c9af4b9ee7b
33,Conditions to access EU humanitarian aid,plenary,433,c66021ee-056b-4739-ac7d-6b0a7b01ef83,https://eumatrix.eu/en/quizzes/statistics/c66021ee-056b-4739-ac7d-6b0a7b01ef83
34,Construction products,plenary,207,c172d6f4-0ce8-4178-84b1-89055aa0f8ce,https://eumatrix.eu/en/quizzes/statistics/c172d6f4-0ce8-4178-84b1-89055aa0f8ce
35,Corporate taxation,plenary,203,d51c4281-2e41-42b2-b072-5e8d00fa980b,https://eumatrix.eu/en/quizzes/statistics/d51c4281-2e41-42b2-b072-5e8d00fa980b
36,Cybersecurity investments for critical infrastructure,plenary,485,cb8e1072-8a4f-44a8-88b8-080bb3b78f08,https://eumatrix.eu/en/quizzes/statistics/cb8e1072-8a4f-44a8-88b8-080bb3b78f08
37,Data sovereignty and foreign tech providers in the EU,plenary,484,9807cdb7-9e48-43fa-8bff-2afbf02582e2,https://eumatrix.eu/en/quizzes/statistics/9807cdb7-9e48-43fa-8bff-2afbf02582e2
38,Decarbonisation of aviation sector,plenary,100,73d83c9a-ce55-492e-9140-d1afc9f19aed,https://eumatrix.eu/en/quizzes/statistics/73d83c9a-ce55-492e-9140-d1afc9f19aed
39,Decarbonisation of maritime transport,plenary,184,bb55c7ec-b077-4b45-99a2-c942063ec20b,https://eumatrix.eu/en/quizzes/statistics/bb55c7ec-b077-4b45-99a2-c942063ec20b
40,Defence spending,plenary,263,e68c8e88-2ecb-4789-8c3e-c954afb713af,https://eumatrix.eu/en/quizzes/statistics/e68c8e88-2ecb-4789-8c3e-c954afb713af
41,Development of the European Research Area (ERA),plenary,461,0f72ce1e-1b8e-4405-8f16-4183a40e532f,https://eumatrix.eu/en/quizzes/statistics/0f72ce1e-1b8e-4405-8f16-4183a40e532f
42,Digital euro,plenary,132,805970dd-0a57-4496-bc29-83d4ae764f60,https://eumatrix.eu/en/quizzes/statistics/805970dd-0a57-4496-bc29-83d4ae764f60
43,Digital platforms liability for harmful and illegal content,plenary,5,1ce7844d-1521-4cfc-aa5f-2ba5b47cbb2d,https://eumatrix.eu/en/quizzes/statistics/1ce7844d-1521-4cfc-aa5f-2ba5b47cbb2d
